First Name	Last Name	School of PhD	PhD ID	Department of PhD	Year of PhD	School of faculty position	University ID	Department of faculty position	Year faculty started	job title
Shilpa	Balan	University of Mississippi	291			"""Cal State, Los Angeles"""	3	Information Systems		
Nandakumar	Ganesan	University of Birmingham	409			"""Cal State, Los Angeles"""	3	Information Systems		
David	Gadish	University of Guelph	299			"""Cal State, Los Angeles"""	3	Information Systems		
Adam	Huarng	University of Memphis	404			"""Cal State, Los Angeles"""	3	Information Systems		
Parviz	Partow-Navid	University of Texas	49			"""Cal State, Los Angeles"""	3	Information Systems		
Jose	Perez-Carballo	New York University	72			"""Cal State, Los Angeles"""	3	Information Systems		
Ludwig	Slusky	Academy of Municipal Economy	395			"""Cal State, Los Angeles"""	3	Information Systems		
Ming	Wang	Southern Illinois University	410			"""Cal State, Los Angeles"""	3	Information Systems		
Jongwook	Woo	University of Southern California	4			"""Cal State, Los Angeles"""	3	Information Systems		
Song	Xing	George Mason University	411			"""Cal State, Los Angeles"""	3	Information Systems		
Mohammad	Ayati	University of California	1			"""Cal State, Los Angeles"""	3	Information Systems		
Adam	Reed	University of Oregon	146			"""Cal State, Los Angeles"""	3	Information Systems		
Rafik	Elias	Louisiana Tech University	413			"""Cal State, Los Angeles"""	3	Accounting		
El-Hussein	El-Masry	University of South Florida	227			"""Cal State, Los Angeles"""	3	Accounting		
Kathryn A.	Hansen	George Washington University	29			"""Cal State, Los Angeles"""	3	Accounting		
Rick S.	Hayes	London School of Economics	414			"""Cal State, Los Angeles"""	3	Accounting		
Haihong	He	University of Connecticut	277			"""Cal State, Los Angeles"""	3	Accounting		
David	Hossain	Rutgers University	233			"""Cal State, Los Angeles"""	3	Accounting		
Marianne L.	James	Florida International University	225			"""Cal State, Los Angeles"""	3	Accounting		
Neung J.	Kim	Temple University	303			"""Cal State, Los Angeles"""	3	Accounting		
J. Gregory	Kunkel	Berkeley	1			"""Cal State, Los Angeles"""	3	Accounting		
Richard	Lau	Louisiana State University	238			"""Cal State, Los Angeles"""	3	Accounting		
Dong-Woo	Lee	University of Michigan	108			"""Cal State, Los Angeles"""	3	Accounting		
Leslie Jane	Park	University of Illinois	117			"""Cal State, Los Angeles"""	3	Accounting		
Samantha	Carrington	UC Santa Barbara	14			"""Cal State, Los Angeles"""	3	Economics		
Ramon	Castillo	UC Irvine	7			"""Cal State, Los Angeles"""	3	Economics		
Li-Hsueh	Chen	University of Michigan	108			"""Cal State, Los Angeles"""	3	Economics		
Carol	Cui	Ohio State University	172			"""Cal State, Los Angeles"""	3	Economics		
Miles	Finney	University of Houston	280			"""Cal State, Los Angeles"""	3	Economics		
